beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
ASSOCIATION L'ILE AUX LANGUE,Éducation,Apprentissage du français et alphabétisation,0.95,2026-04-20,llm_gemini
ASSOCIATION LA CASERNE EPHEMERE,Culture,Lieu culturel pluridisciplinaire (Point Éphémère),1.0,2026-04-20,llm_gemini
ASSOCIATION LA PASSOCIATIONERELLE,Social - Solidarité,Accompagnement et insertion sociale (nom tronqué/erroné de La Passerelle),0.65,2026-02-18,llm_claude
ASSOCIATION LE DAUPHIN BLEU,Social - Petite enfance,Structure petite enfance / crèche,0.75,2026-02-18,llm_claude
ASSOCIATION LE FIGUIER,Social - Solidarité,Association Le Figuier - accueil et insertion sociale,0.6,2026-02-18,llm_claude
ASSOCIATION LE GARAGE NUMERIQUE,Éducation,Médiation numérique et formation,0.9,2026-04-20,llm_gemini
ASSOCIATION LE MOULIN,Culture,Lieu culturel associatif,0.55,2026-02-18,llm_claude
ASSOCIATION LES CROCOS CRECHE PARENTAL,Social - Petite enfance,Crèche parentale,1.0,2026-04-20,llm_gemini
ASSOCIATION LES ENFANCES,Social - Petite enfance,Enfance et parentalité,0.75,2026-02-18,llm_claude
ASSOCIATION LES PETITS DU CANARD,Social - Petite enfance,Structure d'accueil petite enfance,0.9,2026-02-18,llm_claude
ASSOCIATION LES PETITS RIENS,Culture,Compagnie de spectacle vivant / théâtre,0.5,2026-02-18,llm_claude
ASSOCIATION LOGEMENT JEUNES TRAVAILLEURS,Logement,Logement social pour jeunes,1.0,2026-04-20,llm_gemini
ASSOCIATION LOISIRS PLURIEL DE PARI,Social - Solidarité,Loisirs adaptés pour enfants handicapés,1.0,2026-04-20,llm_gemini
ASSOCIATION LOISIRS PLURIEL DE PARIS 6,Social - Solidarité,Inclusion handicap et loisirs,1.0,2026-04-20,llm_gemini
ASSOCIATION MARMITE D AFRIQUE,Social - Solidarité,Aide alimentaire et solidarité interculturelle,0.75,2026-02-18,llm_claude
ASSOCIATION MARMITE D'AFRIQUE,Social - Solidarité,Aide alimentaire et insertion sociale,0.95,2026-04-20,llm_gemini
ASSOCIATION MEDIATION USAGE OPTIMAL NUIT,Social - Solidarité,Médiation sociale et prévention nocturne,0.9,2026-04-20,llm_gemini
ASSOCIATION MERKAZ BETH MYRIAM,Social - Solidarité,Association communautaire d'entraide et solidarité,0.6,2026-02-18,llm_claude
ASSOCIATION MIEUX ETRE LOGEMENT ISOLES,Logement,Aide au logement pour personnes isolées,0.85,2026-02-18,llm_claude
ASSOCIATION MIEUX-ETRE & LOGEMENT ISOLES,Logement,Accompagnement social et logement,0.95,2026-04-20,llm_gemini
ASSOCIATION MISSION ENFANCE,International,Aide humanitaire internationale pour l'enfance,0.9,2026-04-20,llm_gemini
ASSOCIATION NAT PREVENT ALCOOL ADDICT,Santé,Prévention de l'alcoolisme et des addictions (ANPAA),0.97,2026-02-18,llm_claude
ASSOCIATION NAT. PREVENT. ALCOOL. ADDICT.,Santé,Prévention des addictions (ANPAA),1.0,2026-04-20,llm_gemini
ASSOCIATION NOTRE DAME DE BON SECOURS,Santé,Établissement de soins / centre de santé,0.75,2026-02-18,llm_claude
ASSOCIATION OEUVRES DES OTAGES,Social - Solidarité,Action sociale et centre social,0.85,2026-04-20,llm_gemini
ASSOCIATION OLGA SPITZER,Social - Solidarité,Protection de l'enfance et aide sociale,0.92,2026-02-18,llm_claude
ASSOCIATION ORCHESTRE CONCERTS LAMO,Culture,Orchestre et concerts - musique classique,0.95,2026-02-18,llm_claude
ASSOCIATION OZAR HATORAH,Éducation,Réseau d'écoles juives / enseignement confessionnel,0.85,2026-02-18,llm_claude
ASSOCIATION OZAR HATORAH PARIS ONZE CRECHE,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
ASSOCIATION PARENT ELEVE JARDIN ENFANT FR A,Social - Petite enfance,Association de parents d'élèves en jardin d'enfants,1.0,2026-04-20,llm_gemini
ASSOCIATION PARIS AIDE AUX VICTIMES,Social - Solidarité,Aide aux victimes et accès au droit,1.0,2026-04-20,llm_gemini
ASSOCIATION PARIS ANIMATION CULT ET SPORT,Culture,Animation culturelle et sportive de proximité (dominante culturelle),0.55,2026-02-18,llm_claude
ASSOCIATION PARIS TOUT-P'TITS,Social - Petite enfance,Aide alimentaire et produits d'hygiène pour nourrissons,1.0,2026-04-20,llm_gemini
ASSOCIATION PARRAINS PAR MILLE,Social - Solidarité,Parrainage de proximité pour enfants et familles en difficulté,0.9,2026-02-18,llm_claude
ASSOCIATION PARRAINS PAR'MILLE,Social - Solidarité,Protection de l'enfance et parrainage,1.0,2026-04-20,llm_gemini
ASSOCIATION PERSONNELS APSAP-VP,Administration,Association du personnel de la Ville de Paris,0.95,2026-04-20,llm_gemini
ASSOCIATION PETITE ENFANCE ET PARENTAL,Social - Petite enfance,Soutien à la parentalité et accueil du jeune enfant,1.0,2026-04-20,llm_gemini
ASSOCIATION PIMMS DE PARIS,Social - Solidarité,Médiation sociale et accès aux droits,0.95,2026-04-20,llm_gemini
ASSOCIATION PIROUETT,Social - Petite enfance,Crèche ou structure petite enfance,0.7,2026-02-18,llm_claude
ASSOCIATION PLUS LOIN,Social - Solidarité,Accompagnement et insertion sociale,0.7,2026-02-18,llm_claude
ASSOCIATION POLITIQUE CRIMINELLE APPLIQUEE,Social - Solidarité,Réinsertion sociale et politique criminelle,0.95,2026-04-20,llm_gemini
ASSOCIATION POUR DEPISTAGE CANCERS,Santé,Dépistage et prévention des cancers,0.98,2026-02-18,llm_claude
ASSOCIATION POUR DEVELOPPE SANTE DES FEMME,Santé,Accès aux soins pour les femmes précaires,0.95,2026-04-20,llm_gemini
ASSOCIATION POUR DROIT A L INITIATIVE ECONO,Économie,Droit à l'initiative économique - insertion économique,0.9,2026-02-18,llm_claude
ASSOCIATION POUR INSERTION DES JEUNES,Économie,Insertion professionnelle des jeunes,0.7,2026-02-18,llm_claude
ASSOCIATION POUR L AIDE AUX MERES DE FAMI,Social - Solidarité,Aide aux mères de famille en difficulté,0.9,2026-02-18,llm_claude
ASSOCIATION POUR LA PREVENTION L ACCUEIL LE,Social - Solidarité,"Prévention, accueil et accompagnement social (nom tronqué, probablement aide aux personnes en difficulté)",0.75,2026-02-18,llm_claude
ASSOCIATION POUR LA PREVENTION L'ACCUEIL LE,Social - Solidarité,Prévention et accueil social,0.85,2026-04-20,llm_gemini
ASSOCIATION PREVENTION ACCUEIL SOUTIEN ET,Social - Solidarité,Médiation sociale et prévention,0.95,2026-04-20,llm_gemini
ASSOCIATION PREVENTION SITE VILLETTE,Sécurité,Prévention et médiation urbaine,0.95,2026-04-20,llm_gemini
ASSOCIATION PRIMO LEVI,Social - Solidarité,Aide aux réfugiés et victimes de violence,1.0,2026-04-20,llm_gemini
ASSOCIATION PROCESSUS RECHERCHE,Éducation,Association de recherche,0.55,2026-02-18,llm_claude
ASSOCIATION PSYCHOFORM,Santé,Soutien psychologique et prévention,0.9,2026-04-20,llm_gemini
ASSOCIATION PUC RUGBY,Sport,Club de rugby universitaire (Paris Université Club),0.99,2026-02-18,llm_claude
ASSOCIATION REGION INSERTION ECONOMIQUE SOC,Économie,Insertion économique et sociale,0.9,2026-02-18,llm_claude
ASSOCIATION RELAIS ACCUEIL,Social - Solidarité,Accueil et accompagnement de personnes en difficulté,0.85,2026-02-18,llm_claude
ASSOCIATION RESEAU TREIZE,Social - Solidarité,Réseau associatif du 13e arrondissement - insertion sociale,0.65,2026-02-18,llm_claude
ASSOCIATION SAFE,Social - Solidarité,Association SAFE - soutien aux femmes excisées / violences,0.6,2026-02-18,llm_claude
ASSOCIATION SOUTIEN DU THEATRE PRIVE,Culture,Soutien au secteur du théâtre,1.0,2026-04-20,llm_gemini
ASSOCIATION SYNDICALE LIBRE OLYMPIADES,Administration,ASL Olympiades - copropriété du 13e arrondissement,0.97,2026-02-18,llm_claude
ASSOCIATION TECHNO PLUS,Santé,Réduction des risques en milieu festif (prévention addictions),0.9,2026-02-18,llm_claude
ASSOCIATION VOTRE ECOLE CHEZ VOUS,Éducation,Enseignement à domicile pour enfants malades ou handicapés,0.92,2026-02-18,llm_claude
ASSOCIATION. NAT. PREVENT. ALCOOL. ADDICT.,Santé,Prévention des addictions,1.0,2026-04-20,llm_gemini
ASSOCIATION.POUR LA GESTION D ESPACES,Social - Solidarité,Gestion d'équipements sociaux de proximité,0.75,2026-04-20,llm_gemini
ATELIER BERLIOZ ADPS,Culture,Atelier de pratique musicale / arts - ADPS,0.7,2026-02-18,llm_claude
ATELIER DE PARIS CAROLYN CARLSON,Culture,Danse contemporaine - Centre chorégraphique,0.97,2026-02-18,llm_claude
ATELIER DES ARTISTES EN EXIL,Culture,Soutien artistique aux artistes en exil,0.9,2026-02-18,llm_claude
ATELIER PARISIEN D URBANISME,Administration,APUR - Urbanisme et aménagement du territoire parisien,0.9,2026-02-18,llm_claude
ATELIER PARISIEN D'URBANISME,Administration,Agence d'urbanisme et d'études institutionnelles,0.95,2026-04-20,llm_gemini
ATELIERS DE LA DANSE CAROLYN CARLSON,Culture,Danse - compagnie Carolyn Carlson,0.99,2026-02-18,llm_claude
ATELIERS MEDICIS,Culture,Lieu de création artistique et résidences,1.0,2026-04-20,llm_gemini
ATELIERS POUR PETITS,Social - Petite enfance,Ateliers pour jeunes enfants,0.85,2026-02-18,llm_claude
ATLA,Culture,ATLA - école de musiques actuelles et jazz,0.9,2026-02-18,llm_claude
AU FIL DU RAIL,Environnement,Agriculture urbaine et jardins partagés,0.9,2026-04-20,llm_gemini
AU TEMPS DU JEU,Social - Petite enfance,Au Temps du Jeu - ludothèque / activités ludiques pour enfants,0.55,2026-02-18,llm_claude
AURORE,Social - Solidarité,"Hébergement d'urgence, insertion, aide aux personnes en précarité",0.95,2026-02-18,llm_claude
AUTISME EN ILE DE FRANCE,Social - Solidarité,Accompagnement des personnes autistes et de leurs familles,0.92,2026-02-18,llm_claude
AUTOLIB VELIB METROPOLE,Transport,Mobilité partagée (Autolib/Vélib),0.95,2026-02-18,llm_claude
AUX CAPTIFS LA LIBERATION,Social - Solidarité,Aide aux personnes en grande exclusion,0.95,2026-02-18,llm_claude
AXIMO,Logement,Bailleur social / organisme HLM,0.8,2026-02-18,llm_claude
AYYEM ZAMEN,Social - Solidarité,Soutien aux migrants âgés (Café social),1.0,2026-04-20,llm_gemini
BABILLAGES,Social - Petite enfance,Structure petite enfance / crèche,0.85,2026-02-18,llm_claude
BAGAGERIE SOLIDAIRE 14,Social - Solidarité,Consigne solidaire de bagages pour personnes sans-abri (14e),0.95,2026-02-18,llm_claude
BAL,Culture,Lieu d'exposition photographique et artistique (Le BAL),0.85,2026-02-18,llm_claude
BALUSTRADE,Culture,Compagnie de spectacle vivant / théâtre,0.7,2026-02-18,llm_claude
BANQUE POSTALE,Économie,Établissement bancaire / services financiers,0.7,2026-02-18,llm_claude
BASILIADE,Santé,Accompagnement des personnes vivant avec le VIH/SIDA,0.95,2026-04-20,llm_gemini
BATIGERE EN ILE DE FRANCE,Logement,Bailleur social en Île-de-France,0.92,2026-02-18,llm_claude
BATIGERE HABITAT,Logement,Logement social et habitat,0.95,2026-02-18,llm_claude
BATIGERE ILE DE FRANCE SA D HLM,Logement,Bailleur social HLM Île-de-France,0.95,2026-02-18,llm_claude
BELLEVILLE ASSOCIATION,Culture,Association culturelle et sociale du quartier Belleville,0.45,2026-02-18,llm_claude
BELLEVILLE CITOYENNE,Social - Solidarité,Citoyenneté et vie de quartier,0.9,2026-04-20,llm_gemini
BETONSALON,Culture,Centre d'art contemporain et de recherche,0.9,2026-02-18,llm_claude
BIMBAMJOB,Économie,Insertion professionnelle des réfugiés,0.85,2026-02-18,llm_claude
BIS BOUTIQUE SOLIDAIRE,Social - Solidarité,Boutique solidaire / aide vestimentaire et matérielle,0.85,2026-02-18,llm_claude
BLUE PROJECT,Environnement,Protection de l'environnement et sensibilisation,0.8,2026-04-20,llm_gemini
BNP PARIBAS,Économie,Établissement bancaire / partenariat financier,0.6,2026-02-18,llm_claude
BOOLOFOOD SASU,Économie,Restauration solidaire et insertion,0.9,2026-04-20,llm_gemini
BOUFFESQUETAIRES,Culture,Compagnie théâtrale / spectacle vivant,0.75,2026-02-18,llm_claude
BOURSE DU TRAVAIL DE PARIS,Administration,Bourse du travail – lieu syndical et institutionnel,0.85,2026-02-18,llm_claude
BOUTIQUES DE GESTION,Économie,Accompagnement à la création d'entreprise,0.9,2026-02-18,llm_claude
BOUTIQUES DE GESTION PARIS ILE DE F,Économie,Accompagnement à la création d'entreprise et entrepreneuriat,0.95,2026-02-18,llm_claude
BPIFRANCE,Économie,Banque publique d'investissement - soutien aux entreprises,0.95,2026-02-18,llm_claude
BPIFRANCE REGIONS,Économie,Financement et soutien aux entreprises,0.92,2026-02-18,llm_claude
BRASSERIE DE L ETRE,Économie,Brasserie artisanale – entreprise d'insertion ou économie sociale,0.55,2026-02-18,llm_claude
"BUDGET ANNEXE ""AIDE SOCIALE A L'ENFANCE""",Social - Solidarité,Protection de l'enfance (ASE),1.0,2026-04-20,llm_gemini
BUDGET ANNEXE AIDE SOCIALE A L ENFANCE,Social - Solidarité,Aide sociale à l'enfance (budget annexe),0.9,2026-02-18,llm_claude
BUS DES FEMMES,Social - Solidarité,"Aide aux personnes prostituées, prévention et accompagnement",0.9,2026-02-18,llm_claude
CABANE A JEUX,Éducation,Jeunesse et loisirs éducatifs,0.85,2026-04-20,llm_gemini
CAFETE CAFE COLL. PLACE DES FETES,Social - Solidarité,Café solidaire et lien social de quartier,0.9,2026-04-20,llm_gemini
CAISSE DES ECOLES,Éducation,Caisse des écoles - restauration et activités scolaires,0.9,2026-02-18,llm_claude
CAISSE DES ECOLES 15EME ARRONDISSEM,Éducation,Caisse des écoles du 15e arrondissement,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 10E ARRONDISSE,Éducation,Caisse des écoles du 10e arrondissement - restauration et activités scolaires,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 11E ARRONDISSE,Éducation,Caisse des écoles - restauration et activités scolaires 11e,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 13E ARRONDISSE,Éducation,Caisse des écoles - restauration et activités scolaires 13e,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 14E ARRONDISSE,Éducation,Caisse des écoles - restauration et activités scolaires 14e,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 17E ARRONDISSE,Éducation,Caisse des écoles - restauration et activités scolaires 17e,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 18E ARRONDISSE,Éducation,Caisse des écoles du 18e arrondissement,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 2E ARRONDISSEM,Éducation,Caisse des écoles - restauration et activités scolaires,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 3E ARRONDISSEM,Éducation,Caisse des écoles - restauration et activités scolaires,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 6E ARRONDISSEM,Éducation,Caisse des écoles du 6e arrondissement (restauration scolaire),0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 7EME ARRONDISS,Éducation,Caisse des écoles du 7e arrondissement (restauration scolaire),0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 8E ARROND,Éducation,Caisse des écoles du 8e arrondissement - restauration scolaire et activités périscolaires,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 8E ARROND.,Éducation,Restauration et gestion scolaire,1.0,2026-04-20,llm_gemini
CAISSE DES ECOLES DU 8E ARRONDISSEM,Éducation,Caisse des écoles du 8e arrondissement - restauration scolaire,0.95,2026-02-18,llm_claude
CAISSE DES ECOLES DU 9E ARRONDISSEM,Éducation,Caisse des écoles du 9e arrondissement - restauration scolaire,0.95,2026-02-18,llm_claude
CAISSE DES REGLEMENTS PECUNIAIRES,Administration,Caisse de règlements des avocats (CARPA),0.85,2026-02-18,llm_claude
CAISSE DES REGLEMENTS PECUNIAIRES EFFECTUES PAR LES AVOCATS A LA COUR DE PARIS (CARPA),Administration,Institution publique et juridique (CARPA),1.0,2026-04-20,llm_gemini
CAISSE DES REGLEMENTS PECUNIAIRES EFFECTUES PAR LES AVOCATS A LA COUR DE PARIS CARPA,Administration,Caisse de règlements des avocats (CARPA),0.9,2026-02-18,llm_claude
CAISSE ECOLES 12 EME ARRON PARIS,Éducation,Caisse des écoles du 12e arrondissement - restauration et activités scolaires,0.95,2026-02-18,llm_claude
CAISSE ECOLES 16 EME ARRON PARIS,Éducation,Caisse des écoles du 16e arrondissement,0.9,2026-02-18,llm_claude
CAISSE ECOLES 19 EME ARRON PARIS,Éducation,Caisse des écoles du 19e arrondissement,0.95,2026-02-18,llm_claude
CAISSE ECOLES 1ER ARR  PARIS,Éducation,Gestion scolaire et périscolaire,1.0,2026-04-20,llm_gemini
CAISSE ECOLES 1ER ARR PARIS,Éducation,Caisse des écoles du 1er arrondissement,0.95,2026-02-18,llm_claude
CAISSE ECOLES 20 EME ARRON PARIS,Éducation,Caisse des écoles du 20e arrondissement,0.95,2026-02-18,llm_claude
CAISSE ECOLES 4 EME ARRONDISSEMENT,Éducation,Caisse des écoles du 4e arrondissement,0.9,2026-02-18,llm_claude
CAISSE ECOLES 5 EME ARRONDISSEMENT,Éducation,Caisse des écoles du 5e arrondissement,0.9,2026-02-18,llm_claude
CAISSE FEDERALE DE CREDIT MUTUEL,Économie,Services financiers,0.8,2026-04-20,llm_gemini
CAISSE REGLEMENT PECUNIAIRES CARPA,Administration,Caisse de règlements des avocats (CARPA),0.9,2026-02-18,llm_claude
CAISSE REGLEMENTS PECUNIAIRES,Administration,Caisse de règlements pécuniaires - gestion financière institutionnelle,0.8,2026-02-18,llm_claude
CAMELIA CINEMAS,Culture,Cinéma - exploitation de salles,0.95,2026-02-18,llm_claude
CANAUX,Économie,Les Canaux - maison des économies solidaires et innovantes,0.85,2026-02-18,llm_claude
CAP SPORTS ARTS AVENTURES AMITI,Sport,"Association multisports, arts et aventures",0.8,2026-02-18,llm_claude
CAPS,Social - Solidarité,Action et promotion sociale,0.85,2026-04-20,llm_gemini
CAPSKILLS,Éducation,Formation professionnelle et développement des compétences,0.9,2026-04-20,llm_gemini
CARAMEL,Social - Petite enfance,Structure d'accueil petite enfance / crèche associative,0.55,2026-02-18,llm_claude
CARREFOURS EMPLOI ARMEES COLLECT EN,Économie,Insertion professionnelle et emploi,0.9,2026-04-20,llm_gemini
CARTON PLEIN 75,Social - Solidarité,"Carton Plein 75 - insertion par le réemploi de cartons, économie solidaire",0.85,2026-02-18,llm_claude
CASERNE EPHEMERE,Culture,Lieu de création artistique / ateliers d'artistes,0.9,2026-02-18,llm_claude
CCENTRE OROT ENTRAIDE,Social - Solidarité,Entraide et action sociale,0.95,2026-04-20,llm_gemini
CDC HAB SOCIAL SA HAB LOYER MODERE,Logement,CDC Habitat Social - HLM / logement social,0.95,2026-02-18,llm_claude
CDC HABITAT,Logement,Bailleur social - Caisse des Dépôts Habitat,0.95,2026-02-18,llm_claude
CENT D ACTIONS LOCALE DU XVIII,Social - Solidarité,Centre d'actions locales du 18e arrondissement - aide sociale de proximité,0.8,2026-02-18,llm_claude
CENT QUATRE,Culture,Lieu de création et d'exposition,1.0,2026-04-20,llm_gemini
CENTR ISRAELITE MONTMARTRE,Social - Solidarité,Centre communautaire israélite - action sociale et cultuelle Montmartre,0.55,2026-02-18,llm_claude
CENTRE ACCUEIL MEDIC REINSER,Santé,Centre médico-social et réinsertion,0.9,2026-04-20,llm_gemini
CENTRE ACTION SOCIALE VILLE PARIS,Social - Solidarité,Action sociale municipale (CASVP),0.95,2026-02-18,llm_claude
CENTRE ALPHA CHOISY,Éducation,Alphabétisation et apprentissage du français,0.9,2026-02-18,llm_claude
CENTRE AUDIOVISUEL SIMONE DE BEAUVO,Culture,Centre audiovisuel / cinéma / arts visuels féministes,0.95,2026-02-18,llm_claude
CENTRE COROT  ENTRAIDE D'AUTEUIL,Social - Solidarité,Entraide et lutte contre la précarité,1.0,2026-04-20,llm_gemini
CENTRE COROT - ENTRAIDE D'AUTEUIL,Social - Solidarité,"Entraide, aide alimentaire et accompagnement social",1.0,2026-04-20,llm_gemini
CENTRE COROT ENTRAIDE D AUTEUIL,Social - Solidarité,Centre d'entraide et solidarité de proximité (Auteuil),0.88,2026-02-18,llm_claude
CENTRE D ACTION SOCIAL PROTESTANT HUDA L ESQUISE,Social - Solidarité,Hébergement d'urgence (HUDA) et action sociale protestante,0.95,2026-02-18,llm_claude
CENTRE D ACTION SOCIALE DE LA VILLE DE PARIS,Social - Solidarité,Action sociale municipale,1.0,2026-04-20,llm_gemini
CENTRE D ACTION SOCIALE PROTESTANT,Social - Solidarité,"Action sociale, aide aux personnes en difficulté",0.93,2026-02-18,llm_claude
CENTRE D ACTION SOCIALE PROTESTANT UVRE DE SECOURS AUX ENFANTS,Social - Solidarité,CASP et OSE - aide sociale et protection de l'enfance,0.92,2026-02-18,llm_claude
CENTRE D ACTION SOCIALE PROTESTANT ŒUVRE DE SECOURS AUX ENFANTS,Social - Solidarité,Action sociale et protection de l'enfance,1.0,2026-04-20,llm_gemini
CENTRE D'ACTION SOCIAL PROTESTANT HUDA L'ESQUISE,Social - Solidarité,Hébergement d'urgence pour demandeurs d'asile (HUDA),1.0,2026-04-20,llm_gemini
CENTRE DE RESSOURCES POUR MINI,Social - Petite enfance,Centre de ressources pour mineurs / petite enfance,0.65,2026-02-18,llm_claude
CENTRE DE RESSOURCES POUR MINI/,Éducation,Soutien scolaire et apprentissage linguistique (Mini-écoles),0.8,2026-04-20,llm_gemini
CENTRE FORMATION FOOTBALL PARIS,Sport,Formation football,1.0,2026-04-20,llm_gemini
CENTRE GAI ET LESBIEN,Social - Solidarité,Lutte contre les discriminations et droits LGBT,1.0,2026-04-20,llm_gemini
CENTRE INFORMATION DOCUMENT JEUNESS,Éducation,Information et orientation jeunesse (CIDJ),1.0,2026-04-20,llm_gemini
CENTRE LESBIEN GAI BI ET TRANS,Social - Solidarité,Centre communautaire LGBT+ / lutte contre les discriminations,0.8,2026-02-18,llm_claude
"CENTRE LESBIEN, GAI, BI ET TRANS",Social - Solidarité,Lutte contre les discriminations et droits LGBTQ+,1.0,2026-04-20,llm_gemini
CENTRE NATIONAL CHANSON VARIETES JA,Culture,"Centre National de la Chanson, des Variétés et du Jazz (CNV) - nom tronqué",0.98,2026-02-18,llm_claude
CENTRE NATIONAL CHANSON VARIETES JAZZ,Culture,"Centre National de la Chanson, des Variétés et du Jazz (CNV)",0.98,2026-02-18,llm_claude
CENTRE NATIONAL DE LA MUSIQUE,Culture,Musique,1.0,2026-04-20,llm_gemini
CENTRE REGIONAL DE COORDINATION,Santé,Centre régional de coordination (dépistage cancers / santé publique),0.6,2026-02-18,llm_claude
CENTRE REGIONAL OEUVRES UNIV SCOLAI,Éducation,CROUS - œuvres universitaires et scolaires,0.95,2026-02-18,llm_claude
CENTRE SOCIAL ET CULTUREL SOLIDARITE ROQUETTE,Social - Solidarité,Centre social de quartier,1.0,2026-04-20,llm_gemini
CERCLE DES ESCRIMEURS PARISIENS,Sport,Club d'escrime,0.99,2026-02-18,llm_claude
CEREP,Santé,Centre de recherche en psychopathologie et psychothérapie,0.7,2026-02-18,llm_claude
CETEC A2F,Éducation,Formation professionnelle,0.9,2026-04-20,llm_gemini
CHAMPIONNET SPORTS,Sport,Club sportif multisports (18e arrondissement),0.95,2026-02-18,llm_claude
CHAMPS DES POSSIBLES,Social - Solidarité,Insertion sociale et accompagnement,0.5,2026-02-18,llm_claude
CHANTIER ECOLE ILE DE FRANCE,Économie,Insertion professionnelle par les chantiers-école,0.88,2026-02-18,llm_claude
CHINOIS DE FRANCE FRANCAIS DE CHINE,Culture,Échanges culturels franco-chinois,0.55,2026-02-18,llm_claude
CHORBA,Social - Solidarité,Aide alimentaire (distribution de repas),0.9,2026-02-18,llm_claude
CHOUINE,Autre,Nom insuffisant pour déterminer le domaine d'action,0.3,2026-02-18,llm_claude
CINELBA SA,Culture,Cinéma / production audiovisuelle,0.85,2026-02-18,llm_claude
CINEMA CHAPLIN,Culture,Cinéma,0.95,2026-02-18,llm_claude
CINEMAS 21,Culture,Cinéma - exploitation de salles,0.95,2026-02-18,llm_claude
CINEPOQUE,Culture,Cinéma / association cinématographique,0.9,2026-02-18,llm_claude
CIRCUSNEXT,Culture,Arts du cirque,1.0,2026-04-20,llm_gemini
CIRQUE A L ANCIENNE,Culture,Arts du cirque,0.95,2026-04-20,llm_gemini
CITE DE LA MUSIQUE,Culture,Musique - établissement culturel,0.99,2026-02-18,llm_claude
CITE INTERNAT UNIVERSIT DE PARIS,Éducation,Cité Internationale Universitaire de Paris - hébergement et vie étudiante,0.95,2026-02-18,llm_claude
CITE INTERNAT. UNIVERSIT. DE PARIS,Éducation,Hébergement et services pour étudiants et chercheurs,0.95,2026-04-20,llm_gemini
CITE INTERNATION UNIVERSITAIRE DE P,Éducation,Cité Internationale Universitaire de Paris - hébergement et vie étudiante,0.85,2026-02-18,llm_claude
CITE INTERNATIONALE DES ARTS,Culture,Résidences artistiques et arts visuels,0.97,2026-02-18,llm_claude
CITES CARITAS,Social - Solidarité,Hébergement et accompagnement des personnes en difficulté,0.95,2026-02-18,llm_claude
CITETHEATRE,Culture,Théâtre et spectacle vivant,1.0,2026-04-20,llm_gemini
CITHEA FAMILLE ET PROFESSIONNEL,Social - Petite enfance,Soutien à la parentalité et protection de l'enfance,0.9,2026-04-20,llm_gemini
CLAIR ET NET,Social - Solidarité,Insertion par l'activité économique,0.85,2026-04-20,llm_gemini
CLUB ATHLETIQUE DE PARIS,Sport,Club d'athlétisme parisien,0.95,2026-02-18,llm_claude
CLUB D ESCRIME TOUR D AUVERGNE,Sport,Club d'escrime,0.99,2026-02-18,llm_claude
CLUB DES FRANCAIS VOLANTS,Sport,"Club de sports de glace (patinage, hockey)",0.95,2026-02-18,llm_claude
CLUB DES PETITS GAVROCHES,Sport,Club sportif pour enfants,0.6,2026-02-18,llm_claude
CNRS,Éducation,Recherche scientifique (Centre National de la Recherche Scientifique),0.95,2026-02-18,llm_claude
CO P1  SOLIDARITES ETUDIANTES,Social - Solidarité,Aide sociale et solidarité étudiante (Paris 1),1.0,2026-04-20,llm_gemini
CO P1 - SOLIDARITES ETUDIANTES,Social - Solidarité,Aide sociale et solidarité étudiante,0.9,2026-04-20,llm_gemini
CO P1 SOLIDARITES ETUDIANTES,Social - Solidarité,Solidarités étudiantes - aide alimentaire et sociale,0.85,2026-02-18,llm_claude
COALITION INTERNATIONALE SIDA,International,Coopération internationale - lutte contre le VIH/SIDA,0.75,2026-02-18,llm_claude
COALLIA,Social - Solidarité,"Hébergement, insertion, aide aux réfugiés et personnes vulnérables",0.95,2026-02-18,llm_claude
COALLIA HABITAT,Logement,Hébergement et logement accompagné,0.8,2026-02-18,llm_claude
COLLECTIF CAFE CULTURE CUISINE,Culture,Collectif culturel (café culture cuisine),0.75,2026-02-18,llm_claude
COLLECTIF DES VOUTES,Culture,Collectif artistique/culturel (Voûtes - lieu culturel parisien),0.75,2026-02-18,llm_claude
COLLEGE AIME CESAIRE,Éducation,Enseignement secondaire,1.0,2026-04-20,llm_gemini
COLLEGE ALBERTO GIACOMETTI,Éducation,Collège public,0.95,2026-02-18,llm_claude
COLLEGE ANDRE CITROEN,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE ANDRE MALRAUX,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE ANNE FRANK,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE BERNARD PALISSY,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE BORIS VIAN,Éducation,Collège,1.0,2026-04-20,llm_gemini
