label_fr,label_en
"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""","Resource planning and conduct of operations - Staff working for the ""Preparation and employment of forces"" programme"
Planification et économie bleue,Planning and blue economy
Planification écologique,Ecological planning
Planification écologique - Stratégie de réduction de l’utilisation des produits phytosanitaires,Ecological planning - strategy to reduce the use of plant protection products
Plans d'investissement pour la Corse,Investment plans for Corsica
Police des étrangers et sûreté des transports internationaux,Immigration policing and security of international transport
Police judiciaire,Criminal investigation police
Police nationale,National police
"Police, sécurité, justice","Police, security, justice"
Politique culturelle et éducative,Cultural and educational policy
"Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action ""Politique culturelle et éducative""","Cultural and educational policy - management and disclosure of defence historical archives - Staff working for the ""Cultural and educational policy"" action"
Politique de l'internat et établissements à la charge de l'Etat,Boarding school policy and State-funded schools
Politique de l'énergie,Energy policy
Politique de la ville,Urban policy
Politique de mémoire,Remembrance policy
Politique des produits de santé et de la qualité des pratiques et des soins,Policy on health products and on the quality of practices and care
Politique des ressources humaines,Human resources policy
Politique immobilière,Real estate policy
"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""","Real estate policy - Staff working for the ""Real estate policy"" action"
Politiques RH transverses,Cross-cutting HR policies
Politiques des ressources humaines,Human resources policies
Ports,Ports
Presse et médias,Press and media
Prestations d'appui et support,Assistance and support services
Prime d'activité et autres dispositifs,In-work benefit and other schemes
"Prime d'aménagement du territoire, contrats de ruralité et pacte Etat-métropoles","Regional development grant, rurality contracts and State-metropolises pact"
Programme de transformation,Transformation programme
Programmes et équipements prioritaires de recherche,Priority research programmes and equipment
Programmes prioritaires de recherche,Priority research programmes
Projection - mobilité - soutien,Projection - mobility - support
Promotion des métiers du sport,Promotion of sport professions
Promotion des échanges internationaux et qualité du dédouanement,Promotion of international trade and quality of customs clearance
Promotion du sport pour le plus grand nombre,Promotion of sport for all
Propreté urbaine,Street cleaning
Prospective de défense,Defence foresight
"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""","Defence foresight - Staff working for the ""Environment and foresight of defence policy"" programme"
Protection des droits et libertés,Protection of rights and freedoms
"Protection et accompagnement des enfants, des jeunes et des familles vulnérables","Protection and support of vulnerable children, young people and families"
Protection et sauvegarde,Protection and safeguarding
Protection judiciaire de la jeunesse,Judicial youth protection
Protection juridique des majeurs,Legal protection of adults
Protection maladie,Health protection
Protection sociale,Social protection
Provision relative aux rémunérations publiques,Provision for public sector pay
Préparation des forces aériennes,Preparation of air forces
"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""","Preparation of air forces - Staff working for the ""Preparation and employment of forces"" programme"
Préparation des forces navales,Preparation of naval forces
"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""","Preparation of naval forces - Staff working for the ""Preparation and employment of forces"" programme"
Préparation des forces terrestres,Preparation of land forces
"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""","Preparation of land forces - Staff working for the ""Preparation and employment of forces"" programme"
Préparation et conduite des opérations d'armement,Preparation and conduct of armament operations
"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces ""","Preparation and conduct of armament operations - Staff working for the ""Equipment of forces"" programme"
Préparation et emploi des forces,Preparation and employment of forces
Préparation et interventions spécialisées des moyens nationaux,Preparedness and specialised interventions of national resources
Préservation de la sécurité et de la sûreté de l'espace national et européen,Preservation of the safety and security of national and European airspace
Présidence de la République,Presidency of the Republic
Prévention des risques,Risk prevention
"Prévention, sécurité sanitaire et offre de soins","Prevention, health security and healthcare provision"
Public Sénat,Public Sénat
Pêche et aquaculture,Fisheries and aquaculture
Qualification en travail social,Qualification in social work
Qualité de l'alimentation et offre alimentaire,Food quality and food supply
Qualité et effectivité du droit,Quality and effectiveness of the law
RSA et RMI,RSA and RMI minimum income schemes
Radio France,Radio France
Rayonnement et contribution extérieure,International outreach and external contribution
"Recherche dans les domaines de l'énergie, du développement et de la mobilité durables","Research in sustainable energy, development and mobility"
Recherche duale (civile et militaire),Dual-use research (civilian and military)
Recherche et enseignement supérieur en matière économique et industrielle,Research and higher education in economic and industrial affairs
Recherche spatiale,Space research
Recherches scientifiques et technologiques pluridisciplinaires,Multidisciplinary scientific and technological research
Reconnaissance envers le monde combattant,Recognition of the veterans community
"Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation","Recognition and reparation for the veterans community, remembrance and ties with the Nation"
Relations financières avec l'AFP,Financial relations with AFP
Relations internationales,International relations
Relations internationales et diplomatie de défense,International relations and defence diplomacy
Renforcement des fonds propres de l'Agence française de développement,Strengthening the capital of the French Development Agency
Renouveau démocratique,Democratic renewal
Restitution des « biens mal acquis »,"Restitution of ""ill-gotten assets"""
Restructurations,Restructurings
Restructurations - RH,Restructurings - HR
Reversement à la sécurité sociale des recettes de la Facilité pour la Relance et la Résilience (FRR) européenne au titre du volet « Ségur investissement » du plan national de relance et de résilience (PNRR),"Transfer to social security of revenue from the European Recovery and Resilience Facility (RRF) under the ""Ségur investment"" component of the national recovery and resilience plan (NRRP)"
Revitalisation économique et emploi,Economic revitalisation and employment
Routes - Entretien,Roads - maintenance
Routes et voiries,Roads and highways
Régime de retraite de la SEITA,SEITA pension scheme
Régime de retraite du personnel de la RATP,RATP staff pension scheme
Régime de retraite du personnel de la SNCF,SNCF staff pension scheme
"Régimes de retraite des mines, de la SEITA, et divers","Pension schemes for mines, SEITA and miscellaneous"
Régimes de retraite et de sécurité sociale des marins,Seafarers' pension and social security schemes
Régimes sociaux et de retraite des transports terrestres,Social and pension schemes for land transport
"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres","General regulation, guarantee of identity and nationality, and issuance of official documents"
"Réglementation, politique technique et qualité de la construction","Regulation, technical policy and construction quality"
"Régulation concurrentielle des marchés, protection économique et sécurité du consommateur","Competitive market regulation, consumer economic protection and safety"
"Régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP)","Regulation of electronic communications, postal services and press distribution (ARCEP)"
Réseau diplomatique,Diplomatic network
Réseaux d'initiative publique,Public-initiative networks
Résilience,Resilience
"Sanitaire, social, culture, jeunesse et sports","Health, social affairs, culture, youth and sports"
Santé,Health
Santé (y c. PMI et planification familiale),Health (including maternal and child protection and family planning)
Santé des populations,Population health
"Santé des étudiants et activités associatives, culturelles et sportives","Student health and community, cultural and sports activities"
Santé et sécurité au travail,Occupational health and safety
Santé scolaire,School health
"Santé, qualité et protection des végétaux","Plant health, quality and protection"
Scolarisation à 3 ans,Schooling from age 3
Service National Universel,Universal National Service
Service d'incendie et de secours à Wallis-et-Futuna,Fire and rescue service in Wallis and Futuna
Service public de l'énergie,Public energy service
Services communs,Shared services
Services communs (enseignement),Shared services (education)
Services communs (sécurité),Shared services (security)
Services communs (transports),Shared services (transport)
Services communs (y compris APA et RSA),Shared services (including APA and RSA)
Services communs (y compris R & D),Shared services (including research and development)
Services communs et actions transversales,Shared services and cross-cutting actions
Services communs et sécurité,Shared services and security
Services communs et vie sociale,Shared services and social life
"Sites, paysages, publicité","Sites, landscapes and outdoor advertising"
Société de livraison des ouvrages olympiques et paralympiques,Olympic and Paralympic venues delivery company
Solidarité à l'égard des pays en développement,Solidarity with developing countries
Soutien aux politiques du ministère de la culture,Support for the policies of the Ministry of Culture
Soutien de la politique de l'éducation nationale,Support for national education policy
Soutien de la politique de la défense,Support for defence policy
Soutien des ministères sociaux,Support for the social affairs ministries
Soutien des progrès de l'enseignement et de la recherche,Support for progress in education and research
Souveraineté technologique et résilience,Technological sovereignty and resilience
Sport,Sport
Sports,Sports
Statistiques et études économiques,Statistics and economic studies
Stratégie et prospective,Strategy and foresight
"Stratégie, ressources et évaluation","Strategy, resources and evaluation"
Stratégies économiques,Economic strategies
Structures de mise en oeuvre de la politique de l'emploi,Employment policy implementation bodies
Subvention au fonds de financement des dossiers impécunieux,Grant to the fund for financing impecunious cases
Support à l'accès au droit et à la justice,Support for access to law and justice
"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""","Additional costs of operations - personnel working for the ""Preparation and employment of forces"" programme"
Surcoûts liés aux opérations extérieures,Additional costs of external military operations
Surcoûts liés aux opérations intérieures,Additional costs of domestic operations
Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.,Customs surveillance of flows of people and goods and fight against large-scale customs fraud
Surveillance et sûreté maritimes,Maritime surveillance and security
Systèmes d'information,Information systems
"Systèmes d'information, d'administration et de gestion","Information, administration and management systems"
Sécurité civile,Civil protection
Sécurité et paix publiques,Public safety and peace
Sécurité et qualité sanitaires de l'alimentation,Food safety and health quality
Sécurité et éducation routières,Road safety and driver education
Sécurité sanitaire de l'alimentation,Food safety
Ségur investissement du PNRR,Ségur investment under the national recovery and resilience plan
Sénat,Senate
Sûreté nucléaire et radio-protection,Nuclear safety and radiation protection
Sûreté nucléaire et radioprotection,Nuclear safety and radiation protection
TV5 Monde,TV5 Monde
Territoires d'innovation pédagogique,Educational innovation territories
Traitement de la dette des pays pauvres,Debt treatment for poor countries
Traitement et jugement des contentieux civils,Processing and adjudication of civil litigation
Transformation publique,Public transformation
Transmission des savoirs et démocratisation de la culture,Transmission of knowledge and democratisation of culture
Transport aérien,Air transport
Transport routier,Road transport
Transports collectifs,Public transport
Transports combinés,Combined transport
Transports publics (hors scolaire),Public transport (excluding school transport)
Transports scolaires,School transport
Travaux consultatifs,Advisory work
Travaux et gros entretien à la charge du propriétaire,Works and major maintenance borne by the owner
Trésorerie,Treasury management
Urbanisme et aménagement,Urban planning and development
"Urbanisme, territoires et amélioration de l'habitat","Urban planning, territories and housing improvement"
Valorisation de la recherche,Research valorisation
Veille et sécurité sanitaire,Health surveillance and safety
Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines,Payments to the special pension fund of the national autonomous mining social security fund
Versements liés à la liquidation de l'ORTF,Payments related to the liquidation of the ORTF
Vie de l'élève,Pupil life
Vie politique,Political life
Vie scolaire et éducation à la responsabilité,School life and education for responsibility
Vie étudiante,Student life
Voies navigables,Inland waterways
Volet territorialisé du plan national d'action chlordécone,Territorial component of the national chlordecone action plan
Écologie,Ecology
Économie circulaire et circuits courts,Circular economy and short supply chains
"Économie sociale, solidaire et responsable","Social, solidarity and responsible economy"
Éducation routière,Driver education
Égalité entre les femmes et les hommes,Gender equality
Élaboration de la législation fiscale,Drafting of tax legislation
"Énergie, climat et après-mines","Energy, climate and post-mining"
Épargne,Savings
Épargne logement,Housing savings
Équipement des forces,Equipment of the armed forces
Équipements structurants de recherche,Major research equipment
Établissements d'appui de la politique éducative,Institutions supporting education policy
Établissements d'enseignement privés,Private educational institutions
État major,General staff
État-major et services centraux,General staff and central services
Évaluation de l'impact des politiques publiques et information économique,Evaluation of public policy impact and economic information
Évaluation et contrôle,Evaluation and control
"Évaluation, contrôle, études et recherche","Evaluation, control, studies and research"
